fetched_at,source,published_at,title,one_liner_en,score,tags,url
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T02:55:00-04:00,A 240-year-old Swiss watchmaker's race to beat Trump's tariff deadline - Reuters,A 240-year-old Swiss watchmaker's race to beat Trump's tariff deadline - Reuters [earnings / geopolitics],3.2,earnings|geopolitics,https://news.google.com/rss/articles/CBMirAFBVV95cUxPd3htdFFPdFBETXA0MU03ekRlNFdRWC1rNExiWUJrSWJQQzFZdTVaY0ZhdjY2bVNHeU1iREpHbFZrSmh4ckhkVjhENktsa1QzUnptOGpldGtfS3lfUENEMFVCZEtHY1JYVjM4U2xPUWh0WTltdGpUdXBtd1lVSTktUXA5VmhSRDBVZHdOalFrZFZSSWgta3VZNmxQemtiYjB4WG82S2pBM1NJRW1u?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T06:06:47-04:00,Wall St Week Ahead Inflation data to test stocks as some investors brace for rally to pause - Reuters,Wall St Week Ahead Inflation data to test stocks as some investors brace for rally to pause - Reuters [macro],2.5,macro,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOelRoeG9PbGltM09lVjlydW92ZzVyVENzSDJnMWpFTHZHclZ2UkJPRC1CX0JCbE9iZUkwNENXeHdkTjdvcEMwenV4NmJfU05IU2tzVlVkS3pqZFBBV3g3VFN0QWJMU2RGdGxQUWpORFliY1FQdVhEbDFlSVM1bGQzWExHbXE5THJHQm56bUJBNzFBY1NidWN0d1lMTXVTSDRkLVBpWGU5Z0hjeUVnbnNxWGo4TGEwWWtGSnRZSEQzel8?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T02:54:02-04:00,India tech giant TCS layoffs herald AI shakeup of $283 billion outsourcing sector - Reuters,India tech giant TCS layoffs herald AI shakeup of $283 billion outsourcing sector - Reuters [tech],2.5,tech,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOOFVQX2JQVVd0QVpKazRrRFk2dFJHOXNVV2xLbG40X2NCSVhEUUlKNVl3MnNZQTRGbnhLZUg1U3ZLTVpIUmNpWG9ndkdtQWtURVI0UVBpenR3blo5NUJYX0VHbmRSNll1UjRxejNndWpZRzJ1X2Y0bEJ1RzREeVdwMEJqSzRKb0lpUk1vVXZpS2d4WDZqMEJSVEJtZDJHWWxtYkxVVlpXU1ZGc29WVmNLVFhtcUlhbTd0SHRybGo4azI2bS1Ia1hNeFoyVWZzUW9TY3c?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T00:17:00-04:00,Japan says US promises to fix double tariff oversight - Reuters,Japan says US promises to fix double tariff oversight - Reuters [geopolitics],2.0,geopolitics,https://news.google.com/rss/articles/CBMimwFBVV95cUxOQW84aUw4VlluLUhaWlB5cWRWZ2FNRGZrZkV3QWF3NE5qQldncmZCMGZER1RvdkNtYkcxRHlhZFQ5cWNlNzBZM1ZLUm5UYkFvakVWclZtSUxHazZJNDdfVEpaUTZxSkRZZDZ3M1RTaldkZWRpTjVCLXF0UWNUWFNRMm9pZ0R3eHhtTTFtU1RudGZQT1RWR3VobXFKWQ?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T08:00:00-04:00,Breakingviews - OpenAI’s valuation is tech boom’s key man risk - Reuters,Breakingviews - OpenAI’s valuation is tech boom’s key man risk - Reuters [tech],1.9,tech,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOZjAtdzM0OWwxY012cWQ4WGJDWGtFZXZQREI1SjRUV1hJclFscFNmSGVfb3RRUE41NWdBSThBcG9zQks5UGhkMUE5NnlJRU9xX0ZVdFpJTUJ2N0c2dk1vSUVOSk9TYkMtNVVHZzJaOG9RWHVJQlQzYXZGRS00dWZNNWpoa25PSlRwZkNhWG9zRGU4emREcWo5VjFCSk1JWV9BU2d3RlYyTkI?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T04:51:44-04:00,SoftBank shares hit record high on AI prospects - Reuters,SoftBank shares hit record high on AI prospects - Reuters [tech / geopolitics],3.4,tech|geopolitics,https://news.google.com/rss/articles/CBMipgFBVV95cUxNNHllOF94VnhQZGI1R2tOd3dsVUtCdG13QUFmSDBiejVSVnJ5eVJUbzgzOWUzWEFLVkRlcXZ1dUdPYVNuUEhuZ3E4NVAzR3dMTlVVdzFoYnQtcFZaM0ptdjlLdkdWTXYyeTc2cWFnQmMtYW9UMEZIa245em5fV0Q1SHBrSDJ5U09vRHE3SkdqQzNCbGNLM0d3dzg2Q19vVEo3NXNMWlln?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T01:08:00-04:00,Intel CEO says he is working with US administration after Trump demands resignation - Reuters,Intel CEO says he is working with US administration after Trump demands resignation - Reuters,1.1,,https://news.google.com/rss/articles/CBMitwFBVV95cUxNWXFNdUFwVVZtUDdWT2RZOFdFZHVaaHlFdG5iaUNoSFgtRUZPNlBENk1rZFJodmRIck85R3QzVHZmTkpVY1A4aHBldExPQlNiLS1OSVdRVk5FVGRsbmd5NmxPQWxXVFBUSUNfTjVhMHZ2U2VIMXlFUGJlR1ViM25vd2VLS0JaMXVIcU4xSF9JeERmdGh0RFFVUmFhUXQtcGpCNGlUOUZGbXFSelRLNnh2UG9COHF4NmM?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T06:19:43-04:00,China narrows gap with US as Germany’s biggest trading partner - Reuters,China narrows gap with US as Germany’s biggest trading partner - Reuters,0.8,,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOaF9RV1FweEdFeTlHNVVrbmxfdjdHQk9KejRYQWprTnVKUk1XTk9GSm5ncTNEdWlaNmgtNjNkcDBEb21VRGh0NkxoRGpMWTZoMzB5VUY0cmRodVJITEZmWWNzX0UyUXo3NFh4dUt6aE5pdDAyTWtwSW52WVNrbnAtVUozMm45WjdwVTJqd3NMUW1oWXI1d0xMNDdCWmxYdDRpYjNKZTRZV0pHUjBNekktVThpbW1Ia0hpeWlldWJLMWlBdw?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T01:01:00-04:00,"BOJ debated chances of resuming rate hikes, July summary shows - Reuters","BOJ debated chances of resuming rate hikes, July summary shows - Reuters [rates]",2.8,rates,https://news.google.com/rss/articles/CBMipgFBVV95cUxOZlF1TWVzR0tuV2NBOWRVdm44dWVhMnY2TXYtSDRIUkNUS2x5SHZBLWh1LUNMSHA2QnRtVHBqdklOUHRnNnhoZkNhbDY5N0VfMEdtYWhBZDI3RU9TNjBMZFhCUFFhXzlvUEctNjRiS0N1Skc5U2NndWkwTFhVNExZaDNqSXRBMzJzWkktejlrUnRwTm9adndHcW9VRXdUQ3RyRm1ScDhR?oc=5
2025-08-08T08:31:25-04:00,reuters_business_via_gnews,2025-08-08T06:10:53-04:00,HSBC takes extra space in Canary Wharf due to HQ squeeze - Reuters,HSBC takes extra space in Canary Wharf due to HQ squeeze - Reuters,1.1,,https://news.google.com/rss/articles/CBMipgFBVV95cUxQQkxUS3dJbTlSc044eDBnOUg0TG1YZHlfWjJCUDdDdHRBNmYxMkphR2dqbHdwWUFFZHVaU0RFYlcyVDFmLS1FQWg2bGx2N2VnMmgwM05GMldIT1QzMWpOZjRPS0JXS2R6WHhCMjVmWVd1aUg1bTBfdy1HZWI5OTktRlgxanVTSzl3Y0RNcnNrSGNpWk1lRUFEdEtQamdiUlVMb1Z2bWtR?oc=5
